room,front_lobby,gym_front,rear_lobby,notes
103 Classroom,,yes,,
104 Classroom,,yes,,
110 Classroom,,yes,,
111-112 Classroom,,yes,,
113-114 Classroom,,yes,,
115 - Classroom,yes,,yes,
116 - Classroom,yes,,yes,
119 Office,yes,,yes,
201 - Mt. Laurel Room,,yes,,
204 Classroom,,yes,,
205 Classroom,,yes,,
Cafe,yes,,yes,
Conference Room,yes,,yes,
Front Lobby,yes,,,
Gym,,yes,,
Gymnasium,,yes,,
Kitchen,,yes,,
Lobby,yes,,yes,
"Mount Laurel Campus - 1520 Hainesport Rd., Mount Laurel, New Jersey 08054",yes,,yes,
Nursery,yes,,yes,
Office Lobby,yes,,yes,
Overflow Room - Left,yes,,yes,
Overflow Room - Right,yes,,yes,
Rear Lobby,,,yes,
Sanctuary,yes,,yes,
